grade,hours
66,0
58,0.1
54,3.6
71,0
62,0.9
60,2.2
80,0
70,1.1
75,1
55,0.9
60,1.7
63,0
62,3.1
83,0
71,0.4
51,2
58,3.1
63,0
62,0
84,0.9
55,1.4
78,0.9
55,0.7
79,1.4
85,0.1
70,0.9
71,0
53,1
60,1.5
65,1.7
82,0.6
86,0
45,0.8
65,1.6
68,0
54,0
74,1
66,0.3
60,1.1
87,0
44,1.9
54,2.8
65,0.5
70,0
45,2.6
63,0.8
37,2
75,0.3
56,0
49,1
97,0
100,0
64,0.9
40,1.5
89,0.7
56,1.9
52,1.1
37,1.7
51,1.8
49,1
47,2.7
72,1.6
79,0.6
65,0
65,0.9
62,0
77,2.1
61,0.8
59,0.2
94,0
59,0
76,0
76,0
100,0
77,0
49,2.9
66,0
54,2.6
65,0
46,0.8
55,2.1
62,1.7
85,0.4
64,0
71,1
57,3.2
44,3.1
69,0
53,2.5
69,0
50,0.8
61,0.8
80,0.2
59,0.4
69,1.9
77,0
61,0.7
76,0
87,0
74,0
89,0
71,0
46,2.8
69,0
74,0.6
76,1.6
53,1.9
67,1.3
70,0.7
82,0
61,0
69,0.7
80,0
70,0
57,0.9
60,1.9
62,2.8
73,0
69,1.9
77,0.5
84,0
79,0.8
63,2.9
40,2
68,0
65,1.8
63,1.7
86,1.8
32,2.6
63,0
84,0.6
72,1.7
94,0
53,2.6
84,1
66,0.7
61,1.4
37,1.4
96,1
66,0.6
80,0
91,0.2
71,0
79,0.1
64,1.1
53,0.9
56,0.7
91,0.9
75,1.3
77,0.3
82,1
67,0.7
54,1.3
54,1.7
56,3.7
75,1.3
45,0.6
66,0.4
74,0
74,0
50,3.1
53,3.3
79,0
57,0.8
99,0
67,0
82,0
39,3.1
81,0
56,0.7
61,1.7
78,1.6
69,0
55,2.9
64,0.1
60,0.7
52,0
81,1.9
60,1.1
49,1.4
50,1.4
52,0
51,2
59,0.6
85,0.7
49,0
94,0
67,1.2
81,0.6
85,0.1
96,0
73,1.6
38,3.1
76,0.4
63,0.4
73,0
77,0
75,0.7
86,0.1
100,0.3
47,1.4
38,0
66,0
47,1.1
70,1
48,1.2
86,0
100,0
92,0.7
71,0
43,2
55,0
56,1.7
43,0
47,1.8
76,0
53,1.1
80,0
74,1.7
63,0
64,0.2
62,0.6
82,1.6
68,1.2
42,2.3
56,2.5
53,2.3
52,1.2
56,0
76,1.8
63,0
91,0
46,0.6
70,1.9
62,1.7
71,0
76,0.2
68,0
80,0
71,0
72,0
83,0
74,0
37,1.6
54,2.1
45,1.7
70,0
66,1.6
55,0
68,0.6
47,0.5
79,0
83,0
75,0
63,2.8
79,0
100,0
69,1.9
69,0
68,1.1
66,1.2
78,0
70,0.6
86,0
45,2.4
76,1.5
78,0
48,1
52,3
49,0
45,3.2
61,3.2
53,2.5
77,0
51,1.6
66,0
52,1.6
72,0
74,0
81,0
80,0
66,2.1
68,0.1
61,0.9
62,1.2
54,0.8
58,0
69,0.8
77,0.4
62,0
75,0.6
74,0.1
46,2.5
58,0
62,1.5
64,0.2
80,0
89,0
81,0
64,0.7
56,1
77,1.1
68,0
51,1.1
56,1.5
85,0.4
83,0
60,2.3
42,0.6
77,0.6
100,0
70,0.5
69,0
90,1.6
70,1.3
100,0
60,2.6
78,1
63,1.2
70,0.3
67,1.1
88,0.3
75,0.2
81,0
73,0.1
65,0.3
59,2
77,0
79,1
87,0
73,0
42,1.2
51,3.6
65,1.3
98,0
56,0
90,0.8
72,0.4
32,2.8
56,2.1
57,1.7
54,1.5
59,0.6
71,0.8
77,0
71,0.7
45,0.4
56,0.6
78,0
61,2.5
63,0.1
60,1.3
57,1.1
69,3
78,0
61,2.2
54,0.8
69,2.8
71,0.6
58,1.2
74,0.2
71,0
83,0.8
75,0
51,0
67,1.2
82,2.1
81,0.6
77,2.2
94,0
68,2.8
86,0
59,0.6
49,0.9
47,2.3
45,0
54,0.8
50,2
62,1.9
80,0.5
89,0
51,1.1
62,0.1
72,0.6
74,0
63,0.5
56,0
67,0.3
44,1.6
53,2.7
52,0.5
56,2.3
79,0
100,0
80,0
86,0
60,0.4
50,1.4
74,0
41,0.2
