Y,T,motiv
65,0,10.62034653
64,0,14.88495599
76,1,22.91413453
83,1,36.3283116
54,0,8.067277241
90,1,35.9355874
68,1,37.78701074
71,1,26.4319117
77,1,25.16456176
53,0,2.471450819
53,0,8.238982996
63,0,7.062270101
71,1,27.48091387
53,0,15.36414873
63,1,30.7936568
53,0,19.90796968
68,1,28.70474033
85,1,39.67624379
65,0,15.20140718
73,1,31.09780885
95,1,37.38820924
47,0,8.485700851
70,1,26.06695064
45,0,5.022203838
60,0,10.68882675
53,0,15.4445637
45,0,0.535613326
68,0,15.29551828
67,1,34.78763383
70,0,13.61395987
59,0,19.28320462
79,1,23.98263302
60,0,19.74165228
47,0,7.448704056
77,1,33.09493274
84,1,26.73866953
88,1,31.76959443
46,0,4.317745036
82,1,28.94843784
75,0,16.45097719
