date,time,elec,prec,temp
2014/8/1,0,3193,0,27.9
2014/8/1,1,2960,0,27.9
2014/8/1,2,2807,0,27.1
2014/8/1,3,2748,0,26.8
2014/8/1,4,2735,0,26.9
2014/8/1,5,2736,0,27.3
2014/8/1,6,2950,0,28.3
2014/8/1,7,3336,0,29.4
2014/8/1,8,3863,0,30.2
2014/8/1,9,4328,0,32.2
2014/8/1,10,4520,0,32.6
2014/8/1,11,4679,0,32.7
2014/8/1,12,4612,0,32.4
2014/8/1,13,4737,0,32.8
2014/8/1,14,4728,0,32.7
2014/8/1,15,4690,0,32.3
2014/8/1,16,4631,0,31.5
2014/8/1,17,4454,0,30.5
2014/8/1,18,4397,0,29.5
2014/8/1,19,4313,0,28.9
2014/8/1,20,4069,0,29.8
2014/8/1,21,3817,0,29
2014/8/1,22,3671,0,28
2014/8/1,23,3411,0,27.9
2014/8/2,0,3107,0,27.9
2014/8/2,1,2876,0,27.3
2014/8/2,2,2737,0,27.5
2014/8/2,3,2682,0,27.5
2014/8/2,4,2658,0,27.3
2014/8/2,5,2599,0,27.6
2014/8/2,6,2739,0,29.2
2014/8/2,7,3015,0,30.5
2014/8/2,8,3444,0,31.4
2014/8/2,9,3839,0,31.9
2014/8/2,10,4036,0,33.3
2014/8/2,11,4203,0,33.3
2014/8/2,12,4244,0,34.1
2014/8/2,13,4322,0,34.6
2014/8/2,14,4334,0,33.9
2014/8/2,15,4294,0,33.1
2014/8/2,16,4223,0,33.2
2014/8/2,17,4108,0,32.9
2014/8/2,18,4116,0,31.9
2014/8/2,19,4120,0,31.5
2014/8/2,20,3964,0,31.5
2014/8/2,21,3797,0,31
2014/8/2,22,3674,0,30.4
2014/8/2,23,3425,0,29.8
2014/8/3,0,3119,0,29.3
2014/8/3,1,2874,0,29.3
2014/8/3,2,2716,0,28.2
2014/8/3,3,2651,0,28.3
2014/8/3,4,2616,0,28.5
2014/8/3,5,2569,0,28.4
2014/8/3,6,2685,0,29.3
2014/8/3,7,2947,0,30.4
2014/8/3,8,3309,0,32
2014/8/3,9,3675,0,32.8
2014/8/3,10,3861,0,33.2
2014/8/3,11,3982,0,33.6
2014/8/3,12,4052,0,35
2014/8/3,13,4067,0,35.2
2014/8/3,14,4046,0,33.2
2014/8/3,15,3988,0,32.2
2014/8/3,16,3950,0,31.7
2014/8/3,17,3936,0,31.9
2014/8/3,18,4031,0,31
2014/8/3,19,4093,0,30.7
2014/8/3,20,3957,0,30.4
2014/8/3,21,3800,0,29.8
2014/8/3,22,3612,0,29.6
2014/8/3,23,3343,0,29.4
2014/8/4,0,3046,0,28.7
2014/8/4,1,2824,0,28.5
2014/8/4,2,2699,0,28.3
2014/8/4,3,2663,0,28.1
2014/8/4,4,2665,0,27.9
2014/8/4,5,2691,0,28.4
2014/8/4,6,2961,0,29.1
2014/8/4,7,3387,0,30.5
2014/8/4,8,3992,0,31.2
2014/8/4,9,4468,0,32.7
2014/8/4,10,4660,0,33.2
2014/8/4,11,4761,0,32.7
2014/8/4,12,4660,0,34.1
2014/8/4,13,4727,0,32.7
2014/8/4,14,4692,0,32
2014/8/4,15,4649,0,31.9
2014/8/4,16,4662,0,31.5
2014/8/4,17,4516,0,31.6
2014/8/4,18,4503,0,31.1
2014/8/4,19,4463,0,30.5
2014/8/4,20,4234,0,29.8
2014/8/4,21,3997,0,29.1
2014/8/4,22,3837,0,28.7
2014/8/4,23,3552,0,28.7
2014/8/5,0,3214,0,28.7
2014/8/5,1,2978,0,28.5
2014/8/5,2,2845,0,28.2
2014/8/5,3,2793,0,28.3
2014/8/5,4,2783,0,28.1
2014/8/5,5,2797,0,28.5
2014/8/5,6,3068,0,29.7
2014/8/5,7,3492,0,31.1
2014/8/5,8,4099,0,31.7
2014/8/5,9,4568,0,32.8
2014/8/5,10,4737,0,33.9
2014/8/5,11,4865,0,34.3
2014/8/5,12,4771,0,34.7
2014/8/5,13,4919,0,35.5
2014/8/5,14,4980,0,34.3
2014/8/5,15,4964,0,33.9
2014/8/5,16,4967,0,32.9
2014/8/5,17,4788,0,32.1
2014/8/5,18,4680,0,30.9
2014/8/5,19,4617,0,30.3
2014/8/5,20,4377,0,29.7
2014/8/5,21,4126,0,29.5
2014/8/5,22,3986,0,29.4
2014/8/5,23,3696,0,29.1
2014/8/6,0,3342,0,28.8
2014/8/6,1,3099,0,28.7
2014/8/6,2,2945,0,28.4
2014/8/6,3,2872,0,28.1
2014/8/6,4,2844,0,28
2014/8/6,5,2865,0,28.4
2014/8/6,6,3133,0,29.8
2014/8/6,7,3556,0,31
2014/8/6,8,4129,0,32.1
2014/8/6,9,4582,0,32.8
2014/8/6,10,4757,0,34.2
2014/8/6,11,4863,0,34.6
2014/8/6,12,4759,0,34.7
2014/8/6,13,4886,0,34.7
2014/8/6,14,4926,0,34
2014/8/6,15,4882,0,32.8
2014/8/6,16,4864,0,32
2014/8/6,17,4681,0,31.4
2014/8/6,18,4579,0,30
2014/8/6,19,4536,0,29.7
2014/8/6,20,4316,0,29.3
2014/8/6,21,4062,0,29.2
2014/8/6,22,3929,0,28.8
2014/8/6,23,3641,0,28.5
2014/8/7,0,3318,0,28.4
2014/8/7,1,3080,0,28.3
2014/8/7,2,2929,0,28.3
2014/8/7,3,2879,0,27.9
2014/8/7,4,2862,0,27.8
2014/8/7,5,2860,0,27.8
2014/8/7,6,3103,0,29
2014/8/7,7,3505,0,30.1
2014/8/7,8,4019,0,30.9
2014/8/7,9,4484,0,32
2014/8/7,10,4643,0,31.2
2014/8/7,11,4756,0,32.1
2014/8/7,12,4659,0,32.8
2014/8/7,13,4758,0,33.6
2014/8/7,14,4774,0,32.1
2014/8/7,15,4717,0,31.5
2014/8/7,16,4698,0,30.9
2014/8/7,17,4481,0,29.1
2014/8/7,18,4405,0,28.6
2014/8/7,19,4293,0,28.6
2014/8/7,20,4063,0,28.5
2014/8/7,21,3840,0,28.4
2014/8/7,22,3720,0,28.1
2014/8/7,23,3470,0,27.9
2014/8/8,0,3154,0,27.8
2014/8/8,1,2942,0,27.6
2014/8/8,2,2813,0,27.4
2014/8/8,3,2764,0,27
