Date,Open,High,Low,Close
2015/1/5,17325.68,17540.92,17219.22,17408.71
2015/1/6,17101.58,17111.36,16881.73,16883.19
2015/1/7,16808.26,16974.61,16808.26,16885.33
2015/1/8,17067.4,17243.71,17016.09,17167.1
2015/1/9,17318.74,17342.65,17129.53,17197.73
2015/1/13,16970.88,17087.71,16828.27,17087.71
2015/1/14,16961.82,17036.72,16770.56,16795.96
2015/1/15,16872.95,17141.98,16856.22,17108.7
2015/1/16,16812.96,16864.34,16592.57,16864.16
2015/1/19,17000.78,17039.8,16911.58,17014.29
2015/1/20,17071.65,17366.3,17066.77,17366.3
2015/1/21,17308.72,17329.03,17181.55,17280.48
2015/1/22,17306.64,17355.74,17229.21,17329.02
2015/1/23,17520.63,17532.06,17460.76,17511.75
2015/1/26,17285.71,17471.94,17285.71,17468.52
2015/1/27,17649.4,17768.41,17633.47,17768.3
2015/1/28,17615.93,17850.59,17615.93,17795.73
2015/1/29,17666.91,17778.83,17575.1,17606.22
2015/1/30,17788.74,17808.47,17661.1,17674.39
2015/2/2,17536.61,17628.4,17459.45,17558.04
2015/2/3,17654.6,17654.6,17271.87,17335.85
2015/2/4,17549.3,17743.11,17535.04,17678.74
2015/2/5,17589.21,17619.34,17484.67,17504.62
2015/2/6,17696.18,17700.67,17603.07,17648.5
2015/2/9,17790.31,17799.49,17653.61,17711.93
2015/2/10,17662.67,17673.27,17550.03,17652.68
2015/2/12,17899.4,18005.45,17884.34,17979.72
2015/2/13,17892.1,17962.11,17864.55,17913.36
2015/2/16,18024.01,18074.26,17978.9,18004.77
2015/2/17,17949.7,18009.45,17901.26,17987.09
2015/2/18,18103.98,18202.61,18092.32,18199.17
2015/2/19,18237.35,18322.5,18237.35,18264.79
2015/2/20,18336.5,18360.92,18297.67,18332.3
2015/2/23,18499.58,18509.08,18402.02,18466.92
2015/2/24,18468.39,18603.48,18427.98,18603.48
2015/2/25,18636.34,18648.77,18552.81,18585.2
2015/2/26,18587.87,18790.83,18587.13,18785.79
2015/2/27,18844.28,18865.39,18714.64,18797.94
2015/3/2,18869.4,18939.17,18775.23,18826.88
2015/3/3,18910.52,18910.52,18730.57,18815.16
2015/3/4,18716.78,18732.66,18586.84,18703.6
2015/3/5,18658.16,18767.5,18655.36,18751.84
2015/3/6,18814.85,18979.64,18808.3,18971
2015/3/9,18872.96,18878.15,18733.87,18790.55
2015/3/10,18891.01,18924.38,18577.06,18665.11
2015/3/11,18604.87,18836.93,18583.52,18723.52
2015/3/12,18787.1,19008.13,18774.42,18991.11
2015/3/13,19119.58,19335.8,19042.25,19254.25
2015/3/16,19245.38,19349.2,19226.71,19246.06
2015/3/17,19425.89,19479.89,19373.39,19437
2015/3/18,19407.76,19555.72,19389.24,19544.48
2015/3/19,19514.64,19557.17,19312.7,19476.56
2015/3/20,19479.71,19565.44,19416.63,19560.22
2015/3/23,19607.98,19778.6,19584.73,19754.36
2015/3/24,19718.99,19770.64,19646.35,19713.45
2015/3/25,19745.75,19775.45,19542.22,19746.2
2015/3/26,19605.6,19623.11,19397.01,19471.12
2015/3/27,19374.72,19590.03,19099.87,19285.63
2015/3/30,19295.21,19474.07,19227.29,19411.4
2015/3/31,19592.43,19607.25,19206.99,19206.99
2015/4/1,19129.75,19195.23,18927.95,19034.84
2015/4/2,19141.93,19433.89,19115.14,19312.79
2015/4/3,19289.04,19435.08,19289.04,19435.08
2015/4/6,19295.03,19424.09,19241.29,19397.98
2015/4/7,19539.03,19667.48,19501.31,19640.54
2015/4/8,19729.7,19845.53,19693.63,19789.81
2015/4/9,19851.12,19957.32,19822.49,19937.72
2015/4/10,19989.55,20006,19845.31,19907.63
2015/4/13,19967.38,19975.66,19825.69,19905.46
2015/4/14,19828.65,19922.5,19828.65,19908.68
2015/4/15,19838.53,19913.42,19823.86,19869.76
2015/4/16,19862.48,19894.35,19742.12,19885.77
2015/4/17,19810.4,19815.25,19638.37,19652.88
2015/4/20,19501,19725.86,19474.23,19634.49
2015/4/21,19731.57,19909.09,19678.22,19909.09
2015/4/22,19999.84,20144.66,19983,20133.9
2015/4/23,20227.28,20252.12,20116.19,20187.65
2015/4/24,20142.47,20142.47,20013.74,20020.04
2015/4/27,20063.8,20069.24,19909.86,19983.32
2015/4/28,20068.65,20133.78,20031.71,20058.95
2015/4/30,19847.5,19852.66,19502.61,19520.01
2015/5/1,19510.85,19549.39,19399.16,19531.63
2015/5/7,19356.46,19461.08,19257.85,19291.99
2015/5/8,19315.63,19458.75,19302.71,19379.19
2015/5/11,19637.58,19679.63,19586.81,19620.91
2015/5/12,19608.23,19626.75,19467.65,19624.84
2015/5/13,19568.76,19791.88,19494.7,19764.72
2015/5/14,19661.52,19717.8,19546.82,19570.24
2015/5/15,19693.17,19750.76,19633.75,19732.92
2015/5/18,19766.16,19890.27,19741.22,19890.27
2015/5/19,19977.14,20087.7,19946.75,20026.38
2015/5/20,20175.59,20278.89,20148.51,20196.56
2015/5/21,20215.46,20320.9,20175.78,20202.87
2015/5/22,20208.85,20278.31,20130.84,20264.41
2015/5/25,20331.92,20417.77,20318.54,20413.77
2015/5/26,20431.27,20473.85,20378.77,20437.48
2015/5/27,20380.64,20513.22,20363.21,20472.58
2015/5/28,20590.28,20655.33,20473.27,20551.46
2015/5/29,20510.27,20636.41,20508.4,20563.15
2015/6/1,20444.54,20595.41,20410.27,20569.87
2015/6/2,20604.67,20619.61,20470.26,20543.19
2015/6/3,20443.15,20506.35,20397.73,20473.51
2015/6/4,20539.94,20552.46,20438.21,20488.19
2015/6/5,20398.76,20480.25,20363.18,20460.9
2015/6/8,20537.85,20544.94,20359.06,20457.19
2015/6/9,20293.05,20332.42,20095.48,20096.3
2015/6/10,20126.36,20264.92,20016.32,20046.36
2015/6/11,20183.61,20382.97,20178.04,20382.97
2015/6/12,20431.78,20437.26,20331.19,20407.08
2015/6/15,20205.1,20401.48,20205.1,20387.79
2015/6/16,20332.83,20368.21,20234.16,20257.94
2015/6/17,20306.1,20323.08,20126.57,20219.27
