date,hour,temp
2014/8/1,0,27.9
2014/8/1,1,27.9
2014/8/1,2,27.1
2014/8/1,3,26.8
2014/8/1,4,26.9
2014/8/1,5,27.3
2014/8/1,6,28.3
2014/8/1,7,29.4
2014/8/1,8,30.2
2014/8/1,9,32.2
2014/8/1,10,32.6
2014/8/1,11,32.7
2014/8/1,12,32.4
2014/8/1,13,32.8
2014/8/1,14,32.7
2014/8/1,15,32.3
2014/8/1,16,31.5
2014/8/1,17,30.5
2014/8/1,18,29.5
2014/8/1,19,28.9
2014/8/1,20,29.8
2014/8/1,21,29
2014/8/1,22,28
2014/8/1,23,27.9
2014/8/2,0,27.9
2014/8/2,1,27.3
2014/8/2,2,27.5
2014/8/2,3,27.5
2014/8/2,4,27.3
2014/8/2,5,27.6
2014/8/2,6,29.2
2014/8/2,7,30.5
2014/8/2,8,31.4
2014/8/2,9,31.9
2014/8/2,10,33.3
2014/8/2,11,33.3
2014/8/2,12,34.1
2014/8/2,13,34.6
2014/8/2,14,33.9
2014/8/2,15,33.1
2014/8/2,16,33.2
2014/8/2,17,32.9
2014/8/2,18,31.9
2014/8/2,19,31.5
2014/8/2,20,31.5
2014/8/2,21,31
2014/8/2,22,30.4
2014/8/2,23,29.8
2014/8/3,0,29.3
2014/8/3,1,29.3
2014/8/3,2,28.2
2014/8/3,3,28.3
2014/8/3,4,28.5
2014/8/3,5,28.4
2014/8/3,6,29.3
2014/8/3,7,30.4
2014/8/3,8,32
2014/8/3,9,32.8
2014/8/3,10,33.2
2014/8/3,11,33.6
2014/8/3,12,35
2014/8/3,13,35.2
2014/8/3,14,33.2
2014/8/3,15,32.2
2014/8/3,16,31.7
2014/8/3,17,31.9
2014/8/3,18,31
2014/8/3,19,30.7
2014/8/3,20,30.4
2014/8/3,21,29.8
2014/8/3,22,29.6
2014/8/3,23,29.4
2014/8/4,0,28.7
2014/8/4,1,28.5
2014/8/4,2,28.3
2014/8/4,3,28.1
2014/8/4,4,27.9
