date,time,elec,prec,temp
2014/1/1,0:00,2826,0,5.3
2014/1/1,1:00,2681,0,4.5
2014/1/1,2:00,2558,0,3.5
2014/1/1,3:00,2455,0,5.7
2014/1/1,4:00,2396,0,6.5
2014/1/1,5:00,2396,0,7.2
2014/1/1,6:00,2477,0,7.2
2014/1/1,7:00,2600,0,8
2014/1/1,8:00,2716,0,9.4
2014/1/1,9:00,2687,0,11.3
2014/1/1,10:00,2566,0,12.6
2014/1/1,11:00,2467,0,14.3
2014/1/1,12:00,2401,0,14.8
2014/1/1,13:00,2336,0,15.4
2014/1/1,14:00,2296,0,14.8
2014/1/1,15:00,2344,0,14.3
2014/1/1,16:00,2584,0,13.5
2014/1/1,17:00,2897,0,11.9
2014/1/1,18:00,2961,0,11.1
2014/1/1,19:00,2969,0,8.6
2014/1/1,20:00,2959,0,7
2014/1/1,21:00,2930,0,6.4
2014/1/1,22:00,2823,0,8.6
2014/1/1,23:00,2704,0,8
2014/1/2,0:00,2523,0,7.5
2014/1/2,1:00,2408,0,6.7
2014/1/2,2:00,2344,0,4.2
2014/1/2,3:00,2288,0,3.4
2014/1/2,4:00,2267,0,3.5
2014/1/2,5:00,2295,0,3.4
2014/1/2,6:00,2430,0,3.7
2014/1/2,7:00,2599,0,5
2014/1/2,8:00,2747,0,8
2014/1/2,9:00,2756,0,8.4
2014/1/2,10:00,2663,0,10.2
2014/1/2,11:00,2563,0,11.4
2014/1/2,12:00,2517,0,11.6
2014/1/2,13:00,2460,0,11.3
2014/1/2,14:00,2443,0,10.7
2014/1/2,15:00,2487,0,10
2014/1/2,16:00,2754,0,8.7
2014/1/2,17:00,3087,0,8.1
2014/1/2,18:00,3166,0,7.3
2014/1/2,19:00,3173,0,6.8
2014/1/2,20:00,3159,0,6.3
2014/1/2,21:00,3114,0,6.3
2014/1/2,22:00,3008,0,6.1
2014/1/2,23:00,2879,0,5.8
2014/1/3,0:00,2673,0,5.5
2014/1/3,1:00,2535,0,5.1
2014/1/3,2:00,2445,0,5.2
2014/1/3,3:00,2377,0,4.9
2014/1/3,4:00,2347,0,4.8
2014/1/3,5:00,2383,0,4.2
2014/1/3,6:00,2529,0,4.1
2014/1/3,7:00,2720,0,4.3
2014/1/3,8:00,2931,0,4.7
2014/1/3,9:00,3007,0,5.1
2014/1/3,10:00,2996,0,5.7
2014/1/3,11:00,2926,0,5.9
2014/1/3,12:00,2825,0,7.1
2014/1/3,13:00,2727,0,7.6
2014/1/3,14:00,2675,0,8.4
2014/1/3,15:00,2712,0,8.4
2014/1/3,16:00,2945,0,7.7
2014/1/3,17:00,3291,0,7.3
2014/1/3,18:00,3366,0,7.1
2014/1/3,19:00,3358,0,6.2
2014/1/3,20:00,3335,0,6.8
2014/1/3,21:00,3252,0,6.2
2014/1/3,22:00,3104,0,4.9
2014/1/3,23:00,2962,0,4.1
2014/1/4,0:00,2747,0,4.5
