,police,crime
愛知県,1.91496744,13.01
青森県,1.996424743,4.93
秋田県,2.250593023,3.83
石川県,1.979315418,6.47
茨城県,1.812278857,12
岩手県,1.940229713,4.48
愛媛県,2.011308325,9.74
大分県,2.036353953,5.37
大阪府,2.625017697,17.11
岡山県,2.06385265,10.3
沖縄県,2.035100743,7.61
香川県,2.156103966,8.5
鹿児島県,2.060214365,5.56
神奈川県,1.864164175,8.46
岐阜県,1.903325186,10.95
京都府,2.707765628,12.22
熊本県,1.938011493,7.15
群馬県,1.944347356,9.52
高知県,2.583492486,8.85
埼玉県,1.727612537,11.63
佐賀県,2.34606283,8.99
滋賀県,1.80162372,10.91
静岡県,1.881194304,7.95
島根県,2.603961177,6.28
千葉県,2.071708211,12.57
東京都,3.4819081,12.15
徳島県,2.382595013,7.62
栃木県,1.889487925,9.55
鳥取県,2.505130465,7.45
富山県,2.097059071,5.97
長崎県,2.51881897,5.28
長野県,1.835953674,7.02
奈良県,2.014579365,8.96
新潟県,2.022629245,7.49
兵庫県,2.21053002,12.73
広島県,2.012582256,7.97
福井県,2.568281721,6.69
福岡県,2.277853783,13.12
福島県,2.091777985,7.54
三重県,1.867628019,10.84
宮城県,1.880160293,8.32
宮崎県,2.082633886,7.18
山形県,2.046594066,5.46
山口県,2.510401451,7.3
山梨県,2.297238909,8.88
和歌山県,2.557413047,9.38
北海道,2.200545368,7.6
