Words,福田
の_助詞,243
を_助詞,194
に_助詞,151
ます_助動詞,78
し_動詞,74
て_助詞,72
が_助詞,61
は_助詞,61
と_助詞,58
た_助動詞,53
な_助動詞,37
で_助動詞,31
も_助詞,31
など_助詞,28
こと_名詞,27
的_名詞,24
する_動詞,24
まいり_動詞,24
社会_名詞,23
や_助詞,23
国民_名詞,23
よう_名詞,21
で_助詞,19
改革_名詞,19
問題_名詞,17
向け_動詞,17
です_助動詞,17
あり_助動詞,16
できる_動詞,14
行政_名詞,14
進め_動詞,14
地方_名詞,13
ため_名詞,13
安心_名詞,12
さ_動詞,12
れ_動詞,12
化_名詞,12
とともに_助詞,12
政治_名詞,11
皆様_名詞,11
国際_名詞,11
安定_名詞,11
者_名詞,11
我が国_名詞,11
もの_名詞,10
信頼_名詞,10
から_助詞,10
環境_名詞,10
生活_名詞,10
なけれ_助動詞,9
ば_助詞,9
経済_名詞,9
について_助詞,9
実現_名詞,9
ん_助動詞,9
制度_名詞,9
へ_助詞,9
ませ_助動詞,9
将来_名詞,9
なり_動詞,8
安全_名詞,8
私_名詞,8
強化_名詞,8
という_助詞,8
成長_名詞,8
方_名詞,8
ない_助動詞,8
必要_名詞,8
立場_名詞,8
い_動詞,8
アジア_名詞,8
年金_名詞,8
に対する_助詞,7
政策_名詞,7
状況_名詞,7
べき_助動詞,7
世界_名詞,7
国_名詞,7
立っ_動詞,7
お_接頭詞,7
中_名詞,7
すべて_名詞,7
まし_助動詞,6
０_名詞,6
今後_名詞,6
ある_動詞,6
れる_動詞,6
取り組み_動詞,6
ご_接頭詞,6
大きな_連体詞,6
いく_動詞,6
において_助詞,6
企業_名詞,6
推進_名詞,6
基本_名詞,6
思い_動詞,6
負担_名詞,6
ながら_助詞,6
地域_名詞,5
一層_副詞,5
継続_名詞,5
力_名詞,5
全力_名詞,5
日本_名詞,5
なっ_動詞,5
いる_動詞,5
可能_名詞,5
努め_動詞,5
再生_名詞,5
時代_名詞,5
その_連体詞,5
消費_名詞,5
構造_名詞,5
自立_名詞,5
性_名詞,5
対応_名詞,5
取組_名詞,5
外交_名詞,5
ある_助動詞,5
責任_名詞,5
さらに_副詞,5
解決_名詞,5
持続_名詞,5
行っ_動詞,4
たい_助動詞,4
戦略_名詞,4
医療_名詞,4
における_助詞,4
整備_名詞,4
具体_名詞,4
なる_動詞,4
年寄り_名詞,4
実施_名詞,4
ず_助動詞,4
地球_名詞,4
中小_名詞,4
共生_名詞,4
若者_名詞,4
転換_名詞,4
確実_名詞,4
能力_名詞,4
不安_名詞,4
とも_助詞,4
日_名詞,4
す_動詞,4
目指し_動詞,4
子ども_名詞,4
守る_動詞,4
取り組ん_動詞,4
十分_名詞,4
にとって_助詞,4
持ち_動詞,4
米_名詞,4
下_名詞,4
あり_動詞,4
傾け_動詞,4
支援_名詞,4
図る_動詞,4
体制_名詞,4
平和_名詞,4
保障_名詞,4
着実_名詞,4
財政_名詞,4
充実_名詞,4
この_連体詞,4
活動_名詞,4
いか_動詞,4
２_名詞,4
国会_名詞,4
関係_名詞,4
