,y,ÇÃ.ê⁄ë±èïéå.,Ç.äièïéå.,ÇÕ.ïõèïéå.,Ç….äièïéå.,Ç∆.äièïéå.,Ç™.äièïéå.,Ç‡.ïõèïéå.,ÇÃ.äièïéå.,Ç÷.äièïéå.,Ç©.ê⁄ë±èïéå.,Ç™.ê⁄ë±èïéå.,Ç»Ç™ÇÁ.ê⁄ë±èïéå.,Ç≈.äièïéå.,Ç©ÇÁ.äièïéå.,Ç‚.ê⁄ë±èïéå.,Ç≈Ç‡.ïõèïéå.,Ç….ê⁄ë±èïéå.,Ç©ÇÁ.ê⁄ë±èïéå.,ÇæÇØ.ïõèïéå.,ÇÊÇË.äièïéå.,Ç‹Ç‹.ê⁄ë±èïéå.,Ç‹ÇΩ.ê⁄ë±èïéå.,ÇŒÇ©ÇË.ïõèïéå.,Ç≥Ç¶.ïõèïéå.,ñî.ê⁄ë±èïéå.,Ç¡Çƒ.ïõèïéå.,Ç‹Ç≈.äièïéå.,Ç»Ç«.ïõèïéå.,Ç»ÇË.ê⁄ë±èïéå.,Ç©Ç‡.ê⁄ë±èïéå.,ÇæÇÃ.ê⁄ë±èïéå.,Ç∆.ê⁄ë±èïéå.,Ç©.èIèïéå.,ÇÊÇË.ê⁄ë±èïéå.,ÇµÇ©.ïõèïéå.,Ç‹Ç≈.ê⁄ë±èïéå.,ÇÃÇ›.ïõèïéå.,Ç»ÇÁ.ïõèïéå.,Ç‚ÇÁ.ê⁄ë±èïéå.,OTHERS
T03-04òVîN,1914.31,0.224,0.106,0.088,0.125,0.108,0.096,0.053,0.029,0.018,0.01,0.016,0.004,0.045,0.022,0.016,0.006,0.004,0.002,0,0,0.002,0.002,0.006,0.002,0,0.002,0,0.006,0,0,0,0.002,0,0,0,0,0,0.002,0,0.006
T03-12Ç–ÇÂÇ¡Ç∆Ç±,1914.92,0.167,0.129,0.11,0.098,0.116,0.103,0.04,0.017,0.022,0.022,0.017,0.007,0.049,0.029,0.002,0.012,0.002,0.002,0.004,0,0,0.005,0.012,0.002,0,0.01,0.004,0.003,0.003,0.001,0,0.001,0,0.001,0.003,0.001,0,0.001,0.002,0
T04-08èºç]àÛè€ãL,1915.62,0.206,0.173,0.12,0.165,0.122,0.059,0.035,0.037,0.01,0.008,0.006,0.008,0.004,0.004,0,0,0,0.008,0,0.002,0,0.002,0.002,0,0,0,0,0,0,0.002,0,0.002,0,0,0,0.008,0.006,0,0,0.01
T04-09óÖê∂ñÂ,1915.69,0.181,0.163,0.119,0.113,0.08,0.08,0.031,0.037,0.026,0.026,0.001,0.024,0.031,0.025,0.006,0.005,0.004,0.005,0.005,0.002,0,0.002,0.004,0.005,0,0.005,0.007,0.002,0.001,0.001,0,0.004,0,0.001,0,0,0,0.002,0,0
T05-01ï@,1916.08,0.158,0.154,0.146,0.114,0.069,0.087,0.048,0.03,0.021,0.003,0.004,0.017,0.043,0.016,0.006,0.007,0.004,0.011,0.009,0.005,0.001,0.007,0.005,0.008,0,0.007,0.007,0.002,0.001,0,0.001,0,0,0.001,0,0,0.001,0,0,0.002
T05-02å«ì∆ínçñ,1916.15,0.138,0.111,0.136,0.102,0.102,0.086,0.05,0.032,0.029,0.02,0.016,0.009,0.057,0.039,0.009,0.014,0.002,0.011,0.011,0.005,0,0,0,0,0.002,0,0.002,0.005,0,0.002,0,0,0,0,0,0,0,0,0.002,0.007
T05-03ïÉ,1916.23,0.2,0.151,0.102,0.117,0.104,0.083,0.036,0.034,0.023,0.015,0.002,0.015,0.034,0.025,0,0.006,0.004,0.004,0.006,0,0,0.006,0,0.004,0,0.011,0.002,0.002,0.002,0,0,0,0,0,0.004,0,0,0,0.004,0.002
T05-03Âl,1916.23,0.151,0.123,0.122,0.126,0.112,0.087,0.057,0.011,0.033,0.011,0.013,0.015,0.046,0.018,0.016,0.015,0,0.01,0.008,0,0.002,0,0.003,0,0.002,0,0.002,0.003,0.005,0,0,0,0,0,0,0,0.002,0.005,0,0.002
T05-04éíé,1916.31,0.162,0.126,0.119,0.132,0.099,0.084,0.052,0.021,0.023,0.029,0.01,0.015,0.049,0.022,0.017,0.009,0.002,0.005,0.003,0,0.001,0,0.006,0,0.002,0,0.005,0.003,0.001,0,0,0.001,0.001,0,0,0,0,0.002,0,0
T05-07ñÏòCèºêlå`,1916.54,0.167,0.144,0.126,0.122,0.129,0.09,0.036,0.038,0.016,0.029,0.014,0.009,0.032,0.011,0,0,0.005,0.005,0,0.002,0,0,0.005,0.002,0,0,0.002,0,0,0,0,0,0.005,0,0.002,0.002,0,0,0,0.007
