,Unnamed: 0,Unnamed: 0.1,name,text
0,0,0,フシギダネ,生まれたときから 背中に 植物の タネが あって 少しずつ 大きく 育つ。
1,1,1,フシギダネ,生まれたときから 背中に 不思議な タネが 植えてあって 体と ともに 育つという。
2,2,2,フシギダネ,何日だって なにも 食べなくても 元気! 背中のタネに たくさん 栄養が あるから 平気だ!
3,3,3,フシギダネ,生まれて しばらくの あいだ 背中の タネに つまった 栄養を とって 育つ。
4,4,4,フシギダネ,日なたで 昼寝を する 姿を 見かける。太陽の 光を いっぱい 浴びることで 背中の タネが 大きく 育つのだ。
5,5,5,フシギダネ,生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。
6,6,0,フシギソウ,つぼみが 背中に ついていて 養分を 吸収していくと 大きな 花が 咲くという。
7,7,1,フシギソウ,背中の つぼみが 大きく 育ってくると 2本脚で 立つことが できなくなるらしい。
8,8,2,フシギソウ,養分を 摂って 大きくなった つぼみから 香りが 漂いだすと もうすぐ ハナが開く 証拠だ。
9,9,3,フシギソウ,太陽の 光を 浴びるほど 体に 力が わいて 背中の つぼみが 育っていく。
10,10,4,フシギソウ,つぼみを 支えるため 足腰が 強くなる。日なたで じっとする 時間が 長くなれば いよいよ 大輪の 花が 咲くころだ。
11,11,5,フシギソウ,背中の つぼみが ふくらみ出すと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
12,12,0,フシギバナ,花から うっとりする 香りが ただよい 戦うものの 気持ちを なだめてしまう。
13,13,1,フシギバナ,山の 噴火のような 勢いで ばらまく 大量の 花粉は 吸いこみすぎると 気を 失うぞ。
14,14,2,フシギバナ,太陽エネルギーを 栄養にして 大きな花が 開く。 日なたに 引き寄せられるように 移動する。
15,15,3,フシギバナ,2本の ふとい ツルを 振りまわし 戦う。 10階建ての ビルを かるく なぎ倒すほど パワフルだ。
16,16,4,フシギバナ,背中に 生えた 大きな ハナは 太陽の 光を 吸収し エネルギーに 変換 できる。
17,17,5,フシギバナ,メガシンカして さらに 大きく 成長した 花を 支えるため 足腰も たくましく なったのだ。
18,18,6,フシギバナ,大きな 花びらを 広げ 太陽の 光を 浴びていると 体に 元気が みなぎっていく。
19,19,7,フシギバナ,十分な 栄養と 太陽の 光が 花の 色を 鮮やかに すると いわれる。花の 香りは 人の 心を 癒す。
20,20,8,フシギバナ,雨の 降った 翌日は 背中の 花の 香りが 強まる。香りに 誘われ ポケモンが 集まる。
21,21,0,ヒトカゲ,生まれたときから 尻尾に 炎が 点っている。炎が 消えたとき その 命は 終わってしまう。
22,22,1,ヒトカゲ,熱いものを 好む 性格。 雨に濡れると しっぽの 先から 煙が 出るという。
23,23,2,ヒトカゲ,静かな ところに 連れていくと シッポが 燃えてる 小さな 音が 聞こえてくるよ。
24,24,3,ヒトカゲ,尻尾の 炎は ヒトカゲの 生命力の 証。 元気だと さかんに 燃えさかる。
