,0,bunrui,name,no,omosa,spec_bougyo,spec_hp,spec_kougeki,spec_subayasa,spec_tokubou,spec_tokukou,takasa,text_1,text_2,tokusei_1,tokusei_2,type_1,type_2
0,,たねポケモン,フシギダネ,001,6.9,3,3,3,3,4,4,0.7,うまれたときからせなかにしょくぶつのタネがあってすこしずつおおきくそだつ。,うまれてしばらくのあいだせなかのタネにつまったえいようをとってそだつ。,82,0,4,8
0,,たねポケモン,フシギソウ,002,13.0,4,4,4,4,5,5,1.0,せなかのつぼみがおおきくそだってくると２ほんあしでたつことができなくなるらしい。,たいようのひかりをあびるほどからだにちからがわいてせなかのつぼみがそだっていく。,82,0,4,8
0,,たねポケモン,フシギバナ,003,100.0,5,5,5,5,6,6,2.0,たいようエネルギーをえいようにしておおきなハナがひらく。ひなたにひきよせられるようにいどうする。,はなからうっとりするかおりがただよいたたかうもののきもちをなだめてしまう。,82,0,4,8
0,,とかげポケモン,ヒトカゲ,004,8.5,3,3,4,4,3,4,0.6,あついものをこのむせいかく。あめにぬれるとしっぽのさきからけむりがでるという。,うまれたときからしっぽにほのおがともっている。ほのおがきえたときそのいのちはおわってしまう。,227,0,2,0
0,,かえんポケモン,リザード,005,19.0,4,4,4,5,4,5,1.1,もえるしっぽをふりまわしするどいツメであいてをきりさくあらあらしいせいかく。,たたかいできもちがたかぶるとしゃくねつのほのおをふきながらあたりをもやしてまわる。,227,0,2,0
0,,かえんポケモン,リザードン,006,90.5,5,5,5,6,5,7,1.7,がんせきもやけるようなしゃくねつのほのおをはいてやまかじをおこすことがある。,ちじょう１４００メートルまでハネをつかってとぶことができる。こうねつのほのおをはく。,227,0,2,10
0,,かめのこポケモン,ゼニガメ,007,9.0,4,3,3,3,4,3,0.5,ながいくびをこうらのなかにひっこめるときいきおいよくみずでっぽうをはっしゃする。,あぶなくなるとこうらにてあしをひっこめてみをまもりながらくちからみずをふきだしてくる。,58,0,3,0
0,,かめポケモン,カメール,008,22.5,5,4,4,4,5,4,1.0,ながいきのシンボルとされている。こうらにコケがついているのはとくにながいきのカメールだ。,ふさふさのみみとしっぽをたくみにあやつってすいちゅうでのバランスをたもつ。,58,0,3,0
0,,こうらポケモン,カメックス,009,85.5,6,5,5,5,7,5,1.6,からだがおもたくのしかかってあいてをきぜつさせる。ピンチのときはカラにかくれる。,こうらのロケットほうからふきだしたジェットすいりゅうはぶあついてっぱんもつらぬく。,58,0,3,0
0,,いもむしポケモン,キャタピー,010,2.9,3,3,2,3,2,2,0.3,あたまのしょっかくからきょうれつなにおいをだしててきをおいはらいみをまもる。,あしはみじかいがきゅうばんになっているのでさかでもかべでもくたびれることなくすすんでいく。,244,0,12,0
0,,さなぎポケモン,トランセル,011,9.9,4,3,2,2,2,2,0.7,しんかをまっているじょうたい。かたくなることしかできないのでおそわれないようじっとしている。,かたいカラにつつまれているがなかみはやわらかいのでつよいこうげきにはたえられない。,111,0,12,0
0,,ちょうちょポケモン,バタフリー,012,32.0,3,4,3,5,5,6,1.1,こまかくはやくはばたいたらもうどくのりんぷんがかぜにのってとんでくるぞ。,まいにちミツをあつめまわる。あしのうぶげにミツをぬりこんですにもちかえるしゅうせいをもつ。,179,0,12,10
